site_id,data_product,data_policy,citation_doi,citation_url,citation_text,citation_source,citation_source_url
CA-AF1,BASE-BADM,LEGACY,10.17190/AMF/2479623,https://doi.org/10.17190/AMF/2479623,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-AF1,FLUXNET,CCBY4.0,,,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-ARB,BASE-BADM,CCBY4.0,10.17190/AMF/1480319,https://doi.org/10.17190/AMF/1480319,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-ARB,BASE-BADM,LEGACY,10.17190/AMF/1480319,https://doi.org/10.17190/AMF/1480319,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-ARB,FLUXNET,CCBY4.0,10.17190/AMF/1902821,https://doi.org/10.17190/AMF/1902821,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-ARF,BASE-BADM,CCBY4.0,10.17190/AMF/1480318,https://doi.org/10.17190/AMF/1480318,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-ARF,BASE-BADM,LEGACY,10.17190/AMF/1480318,https://doi.org/10.17190/AMF/1480318,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-ARF,FLUXNET,CCBY4.0,10.17190/AMF/1902822,https://doi.org/10.17190/AMF/1902822,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-BCW,BASE-BADM,CCBY4.0,10.17190/AMF/3365231,https://doi.org/10.17190/AMF/3365231,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-BCW,BASE-BADM,LEGACY,10.17190/AMF/3365231,https://doi.org/10.17190/AMF/3365231,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-BCW,FLUXNET,CCBY4.0,,,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-BOU,BASE-BADM,CCBY4.0,10.17190/AMF/1987599,https://doi.org/10.17190/AMF/1987599,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-BOU,BASE-BADM,LEGACY,10.17190/AMF/1987599,https://doi.org/10.17190/AMF/1987599,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-BOU,FLUXNET,CCBY4.0,10.17190/AMF/2469435,https://doi.org/10.17190/AMF/2469435,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-BSM,BASE-BADM,CCBY4.0,,,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-BSM,BASE-BADM,LEGACY,,,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-BSM,FLUXNET,CCBY4.0,,,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-Ca1,BASE-BADM,CCBY4.0,10.17190/AMF/1480300,https://doi.org/10.17190/AMF/1480300,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-Ca1,BASE-BADM,LEGACY,10.17190/AMF/1480300,https://doi.org/10.17190/AMF/1480300,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-Ca1,FLUXNET,CCBY4.0,10.17190/AMF/2007163,https://doi.org/10.17190/AMF/2007163,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-Ca2,BASE-BADM,CCBY4.0,10.17190/AMF/1480301,https://doi.org/10.17190/AMF/1480301,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-Ca2,BASE-BADM,LEGACY,10.17190/AMF/1480301,https://doi.org/10.17190/AMF/1480301,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
CA-Ca2,FLUXNET,CCBY4.0,10.17190/AMF/2007164,https://doi.org/10.17190/AMF/2007164,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
